Context/Supportive text,Aphasia text
Can you tell me about your favorite hobby?,Enjoy... um... painting.
What did you do last weekend?,"Went... uh... park, friends."
Describe your ideal vacation destination.,"Beach... um... relaxing, sun."
How do you like to spend your free time?,"Watch... uh... movies, read books."
Tell me about your family members.,"Have... um... two brothers, sister."
What's your favorite type of music?,"Like... uh... classical, jazz."
Explain your job or occupation.,"Work... um... office, computer."
Share a childhood memory that stands out to you.,"Remember... uh... bike, friends."
Describe the last book you read.,"Read... um... mystery, interesting."
What do you think about the current weather?,"Weather... um... nice, sunny."
Talk about your best friend and your relationship.,"Good... uh... friend, long time."
Can you tell me about your favorite hobby?,Uh... hobby. Enjoy... painting.
What did you do last weekend?,"Weekend... park, friends. Went..."
Describe your ideal vacation destination.,"Vacation... beach, relaxing, sun."
How do you like to spend your free time?,"Free time... movies, read books."
Tell me about your family members.,"Family... two brothers, sister. Have..."
What's your favorite type of music?,"Music... classical, jazz. Like..."
Explain your job or occupation.,"Job... office, computer. Work..."
Share a childhood memory that stands out to you.,"Childhood... bike, friends. Remember..."
Describe the last book you read.,"Book... mystery, interesting. Read..."
What do you think about the current weather?,"Weather... nice, sunny. Weather..."
Talk about your best friend and your relationship.,Friend... long time. Good...
